  itmf,  dt,  <f_i>,  <CW sin theta>,  <Current>,  <Lorenz force>
 55070, 4.396428E-06, 4.465490E-04, 2.719151E-01, 1.171731E+01, 4.010666E+02
 55080, 6.129452E-06, 4.434301E-04, 2.713992E-01, 1.170256E+01, 3.998864E+02
 55090, 1.081268E-05, 4.428091E-04, 2.705223E-01, 1.168681E+01, 3.981296E+02
 55100, 1.243110E-05, 4.418553E-04, 2.700167E-01, 1.167916E+01, 3.970864E+02
 55110, 1.158378E-05, 4.417412E-04, 2.697626E-01, 1.167665E+01, 3.965249E+02
 55120, 1.110195E-05, 4.416078E-04, 2.696043E-01, 1.167628E+01, 3.961434E+02
 55130, 1.152457E-05, 4.414461E-04, 2.695035E-01, 1.167593E+01, 3.957125E+02
 55140, 1.310455E-05, 4.409993E-04, 2.692727E-01, 1.167461E+01, 3.951985E+02
 55150, 1.344735E-05, 4.411731E-04, 2.691652E-01, 1.167302E+01, 3.946307E+02
 55160, 1.380772E-05, 4.412851E-04, 2.690027E-01, 1.167208E+01, 3.940398E+02
 55170, 1.423292E-05, 4.408909E-04, 2.689760E-01, 1.167222E+01, 3.936463E+02
 55180, 1.468043E-05, 4.399899E-04, 2.689115E-01, 1.167303E+01, 3.932694E+02
 55190, 1.508571E-05, 4.390971E-04, 2.689379E-01, 1.167602E+01, 3.931223E+02
 55200, 1.522156E-05, 4.387492E-04, 2.691117E-01, 1.168086E+01, 3.932584E+02
 55210, 1.524043E-05, 4.380098E-04, 2.694081E-01, 1.168679E+01, 3.935364E+02
 55220, 1.525419E-05, 4.352891E-04, 2.693450E-01, 1.168440E+01, 3.935515E+02
 55230, 1.534889E-05, 4.334754E-04, 2.691015E-01, 1.167907E+01, 3.934095E+02
 55240, 1.556520E-05, 4.327816E-04, 2.688848E-01, 1.167491E+01, 3.932476E+02
 55250, 1.598550E-05, 4.327105E-04, 2.686575E-01, 1.167195E+01, 3.930302E+02
 55260, 1.687777E-05, 4.344067E-04, 2.685542E-01, 1.167205E+01, 3.928137E+02
